Subject,Topic,SubquestionAType,SubQuestionAText,SubquestionAAnswer,SubquestionAImage,SubquestionBType,SubQuestionBText,SubquestionBAnswer,SubquestionBImage,SubquestionCType,SubQuestionCText,SubquestionCAnswer,SubquestionCImage,SubquestionDType,SubQuestionDText,SubquestionDAnswer,SubquestionDImage
Anatomy,CoronaryArteries,,"What is this picture of? What are the vessels labelled A, B and C? What is the venous drainage of the heart?","This is a coronary angiogram of the left coronary artery. A - Left Anterior Descending Artery. B - Left Main Stem. C - Left Circumflex Artery. The venous drainage of the heart is the great cardiac vein, the middle cardiac vein, and the small cardiac vein all drain into the coronary sinus (which opens into the right atrium). The anterior cardiac veins drain directly into the right atrium.",https://storage.googleapis.com/production-hostgator-v1-0-7/127/338127/xa71s1rE/95714fa16fd74e619c87d79de501e7a3,,Where is the atrioventricular node located? What is the blood supply to the atrioventricular node?,The AV node is located in the lower atrial septum near the coronary sinus. It is supplied by the right coronary artery in 85% of the population and the left circumflex artery in 15%.,https://storage.googleapis.com/production-hostgator-v1-0-7/127/338127/xa71s1rE/95714fa16fd74e619c87d79de501e7a3,,What is the role of the sinuses of Valsalva?,They facilitate smooth opening and closing of the aortic valve. ,,,,,
Anatomy,Neck,,What level is this image? Can you name the anatomical parts labelled from A-F?,This is an transverse axial section of the neck at level C6. A - Trachea. B - Thyroid. C - Internal Jugular Vein. D - Internal Carotid Artery. E - Vagus Nerve. F - Sternocleidomastoid Muscle.,https://storage.googleapis.com/production-hostgator-v1-0-7/127/338127/xa71s1rE/f0be02dad7794ac6a605e7a263ef8c57,,What are the implications of blocking the sympathetic chain at this level?,"Cervical sympathetic chain block leads to Horner's syndrome which consists of ptosis, meiosis and anhidrosis. ",https://storage.googleapis.com/production-hostgator-v1-0-7/127/338127/xa71s1rE/f0be02dad7794ac6a605e7a263ef8c57,,What are the contents of the carotid sheath? Which vein does the internal jugular vein join to in the thorax?,"Common and internal Carotid Artery, Internal Jugular Vein, vagus nerve, recurrent laryngeal nerve, deep lymph nodes. The internal jugular vein joins to the subclavian vein. ",https://storage.googleapis.com/production-hostgator-v1-0-7/127/338127/xa71s1rE/f0be02dad7794ac6a605e7a263ef8c57,,,,
Anatomy,Larynx,,"What are the anatomical parts labelled A, C and E? How does the cricoid cartilage differ to the thyroid cartilage? What is the clinical relevance of the structure of the cricoid cartilage?",A - Hyoid. C - Thyroid cartilage. E - Cricoid cartilage. The cricoid is a complete ring whereas the thyroid cartilage is irregular in shape and not a complete ring.  When pressure is applied to the cricoid cartilage during Sellick manoeuvre the oesophagus is compressed which should prevent regurgitation in theory. ,https://storage.googleapis.com/production-hostgator-v1-0-7/127/338127/xa71s1rE/086caad4b9ca4e6dac8e1e69907d0d09,,What is the blood supply to the Larynx? What is the motor and sensory supply to the larynx?,The larynx is supplied by the superior and inferior laryngeal arteries which are branches of the superior and inferior thyroid arteries. The larynx is supplied by branches of the Vagus Nerve (X): the superior laryngeal nerve supplies sensation above the glottis and to the cricothyroid muscle which tenses the cords. The Recurrent Laryngeal nerve supplies sensation below the glottis and all intrinsic muscles of the larynx (except the cricothyroid).,https://storage.googleapis.com/production-hostgator-v1-0-7/127/338127/xa71s1rE/086caad4b9ca4e6dac8e1e69907d0d09,,"What are the anatomical parts labelled A, B, F and G on the diagram?","A - Vocal cords. B - trachea. F - Epiglottis, G - Tongue base",https://storage.googleapis.com/production-hostgator-v1-0-7/127/338127/xa71s1rE/40bc88c898ae4fd38de57bc642ff95bf,,,,
Anatomy,SpinalCord,,What are the anatomical parts labelled A - E?,A - Lateral Corticospinal tract. B - Vestibulospinal tract. C - Dorsal Columns. D - Spinocerebellar tract. E - Lateral spinothalamic tract.,https://storage.googleapis.com/production-hostgator-v1-0-7/127/338127/xa71s1rE/520e5a98be854e8c9827fc079ac0949e,,What is the blood supply of the spinal cord?,There are 3 arteries that run along the whole spinal cord and multiple adjoining ones. The anterior spinal artery and the right and left posterior spinal arteries run cranio-caudally in the subarachnoid space. Radicular arteries from the aorta supply the spinal cord at each level and the largest of these is usually around L1-2 and is known as the Artery of Adamkiewicz,https://storage.googleapis.com/production-hostgator-v1-0-7/127/338127/xa71s1rE/520e5a98be854e8c9827fc079ac0949e,,What volume of Levobupivacaine 0.1% is required to block each segment of spinal cord?,1 - 2mL of local anaesthetic per segment.,https://storage.googleapis.com/production-hostgator-v1-0-7/127/338127/xa71s1rE/520e5a98be854e8c9827fc079ac0949e,,What is anterior cord syndrome?,"Anterior cord syndrome is  caused by acute flexion or anterior vascular injury. The signs are motor, pain and temperature loss but preservation of proprioception and vibration. ",
Anatomy,VagusNerve,,What is the course of the Vagus Nerve?,The vagus nerve emergences from the posterior fossa through the jugular foramen. It travels in the carotid sheath alongside the internal jugular vein. It passes anterior to the subclavian artery and enters the thorax. IN the thorax the vagus nerve passes caudally alongside the oesophagus posterior to the trachea. The left vagus then moves anteriorly while the right vagus moves posteriorly and they cross the diaphragm at T10 with the oesophagus. There are many branches that leave the vagus nerve and multiple plexii.,https://storage.googleapis.com/production-hostgator-v1-0-7/127/338127/xa71s1rE/7f8ca0d89b0c4c2b8f50bf175b15b2bd,,What vagus nerve  branches and plexii does the vagus contribute to in the thorax?,"The four Recurrent Laryngeal nerve, thoracic cardiac branches, pulmonary plexus, oesophageal plexus, anterior vagal trunk, posterior vagal trunk.",https://storage.googleapis.com/production-hostgator-v1-0-7/127/338127/xa71s1rE/7f8ca0d89b0c4c2b8f50bf175b15b2bd,,Under what physiological circumstances might vagal tone lead to bradycardia?,"Sinus bradycardia of <50 bpm might be caused by high-endurance athletic training, carotid sinus pressure, vomiting, coughing, bowel motion, diving reflex, deep sleep and hypothermia.",https://storage.googleapis.com/production-hostgator-v1-0-7/127/338127/xa71s1rE/7f8ca0d89b0c4c2b8f50bf175b15b2bd,,How would you treat physiological bradycardia?,"Asymptomatic sinus bradycardia does not require treatment. Symptomatic bradycardia should be investigated and can be treated with anti-cholinergic medication like glycopyrrolate, Cyclizine or atropine. Isoprenaline and adrenaline can be used in prolonged circumstances.",
Anatomy,FoetalCirculation,,What are the foetal anatomical parts labelled in the diagram?,A - Ductus Arteriosus. B - Foramen Ovale. C - Ductus Venosus. D - Umbilical arteries. ,https://storage.googleapis.com/production-hostgator-v1-0-7/127/338127/xa71s1rE/8c5f56db09fe44338b9cf02add149b55,,What does the ductus arteriosus become in the adult?,Ligamentum Arteriosum,https://storage.googleapis.com/production-hostgator-v1-0-7/127/338127/xa71s1rE/8c5f56db09fe44338b9cf02add149b55,,What are the oxygen saturations at the points labelled in the diagram?,A - Ductus Arteriosus (50%). B - Foramen Ovale(60%). C - Ductus Venosus(80%). D - Umbilical arteries(50%).,https://storage.googleapis.com/production-hostgator-v1-0-7/127/338127/xa71s1rE/8c5f56db09fe44338b9cf02add149b55,,What is the function of the eustachian valve?,To direct higher oxygenated haemoglobin to the left side of the circulation and to the brain. ,
Blocks & Skills,Cricoid Pressure,,In what situations is cricoid pressure used? How would you advise a CT1 to perform cricoid pressure?,"Cricoid pressure is performed in most rapid sequence inductions in the UK in order to prevent aspiration of stomach contents in patients at risk of vomiting or regurgitating their stomach contents. Identify the midline of the thyroid cartilage which is the most prominent anatomical part of the neck. Then use your index finger to slide inferiorly feeling the cricothyroid membrane then the cricoid cartilage. Then apply your thumb and middle finger to the cricoid. Apply 10N of pressure while the patient is awake, then increase the pressure to 30N when verbal contact with the patient is lost. Cricoid pressure should be maintained until after intubation the cuff of the tube is inflated or the intubator asks you to release.",,,How much pressure should be applied when the patient is awake? How much pressure should be applied when the patient is asleep? How do you describe the appropriate pressure?,"10N while the patient is awake, increased to 30N when verbal contact is lost. 30N of pressure is the weight of 3 kg.",,,When should cricoid pressure be released? What problems associated with cricoid pressure? When  should cricoid pressure be released even though the patient is not intubated?,"When asked to by the anaesthetists, when actively vomiting, hindering ventilation, when performing front of neck emergency airway access or inserting an LMA.  There are many problems associated with cricoid pressure: it's ineffective",,,,,
Blocks & Skills,Spinal,,You are planning on performing a spinal anaesthetic on a patient undergoing a TURP. What needle would you choose for performing the spinal anaesthetic? What dermatome level would you aim to block for this procedure? What are 3 contraindications to performing spinal anaesthesia?,"Whitacre or Sprotte 25 to 27G is standard practice in the UK, with the block extending to T10 bilaterally. Contraindications to spinal anaesthesia: Sepsis, Infection at the injection site, Thrombocytopaenia, recent anticoagulant use, clotting disorder leading to risk of haematoma, raised intracranial pressure, patient refusal.",,,Where would you insert your needle? What layers would your needle pass through? ,"Midline at the level of L3/4. I would palpate the superior aspect of the iliac crest and follow to the midline, this line is known as Touffiers line and usually indicates the level of L4/5. My needle would pass through: skin, fat, supraspinous ligament, interspinous ligament, ligamentum flavum, epidural space, dura mater, arachnoid mater.",,,What are the side effects of spinal anaesthesia to T10?,"Spinal anaesthesia can cause immediate or delayed side-effects due to the effect of anaesthetic medication or due to trauma from the needle: bruising, bleeding, hypotension, paraesthesia, nerve damage, headache, total spinal, urinary retention .",,,,,
Blocks & Skills,CVC,,"Please identify the anatomical parts labelled A, B and C. Why would this patient be positioned in the head down position? ",A - Right internal carotid artery. B - Right Internal Jugular Vein. C - Right Sternocleidomastoid muscle. Head down position is to increase volume and pressure of blood in the internal jugular vein to make it easier to see and cannulate for central line insertion. ,https://storage.googleapis.com/production-hostgator-v1-0-7/127/338127/xa71s1rE/d45b4a8f80ac439abf923a35bf9eb204,,What are the advantages of ultrasound guided technique vs landmark guided? What should be done in case of inadvertent carotid artery puncture where the artery has not been dilated?,"decreased failure rates, a decrease in the total number of attempts, a reduction in the time taken to successfully cannulate the vessel, increased rates of success at the first attempt, and a decrease in reported complications. Arterial puncture can be detected by looking for bright red blood pulsing out of the needle, and reviewing the guidewire on ultrasound. If the artery has not been dilated the needle and wire can be removed and the artery compressed. ",https://storage.googleapis.com/production-hostgator-v1-0-7/127/338127/xa71s1rE/d45b4a8f80ac439abf923a35bf9eb204,,What frequency is the ultrasound machine probe?,20 kHz,,,,,
Blocks & Skills,Epidural ,,You plan on inserting an epidural catheter for a labour analgesia.  How would you prepare and position a patient for epidural insertion? What would be your preferred insertion point for the epidural needle?,"Preparation includes taking a basic history to look for contraindications, obtain consent from the patient and arrange the required equipment in a sterile field. The epidural can be inserted in the sitting or lateral position with the patient curled in a kyphotic position. The site should be identified,  cleaned, draped and anaesthetised with lidocaine. The insertion site is the midline at the level L3/4 which can be found by feeling the top of the iliac crest and identifying Touffiers line which joins the two iliac crests.",,,What layers will your needle pass through? What level does the spinal cord end? What level of block would you need in the 1st stage of labour?,"The layers are skin, fat, supraspinous ligament, interspinous ligament, ligamentum flavum, epidural space. The spinal cord usually ends in adults at L1. For the first stage of labour The dermatomes of T10 to T12 are affected.",,,,,,,,,
Blocks & Skills,Laryngoscopy,,You are planning on intubating a morbidly obese patient. What is the Cormack and Lehane grade view using this image? What would you do to improve your view? ,"The image shows the epiglottis but no cords so this is a grade 3 view. Improving a difficult view may involve applying cricoid pressure, manipulating existing cricoid pressure, improving patient positioning, using an oxford pillow, using a Mccoy blade to lift the epiglottis or using a video laryngoscopy.",https://storage.googleapis.com/production-hostgator-v1-0-7/127/338127/xa71s1rE/4998743a3b6d46e199f84f26a910e33f,,What are factors on examination that help you predict a difficult intubation? What are the components of the Wilson score?,"External features include: obesity, a beard, breasts. Recent anaesthetic airway management should be reviewed. Mouth opening, Mallampati score, thyromental distance, neck movement and Jaw protrusion. The components of the Wilson score are: weight, Neck mobility, buck teeth, jaw movement and retrognathia.",,,Please describe the anatomy of the larynx?,"The larynx is a series of cartilage and membranes located in the anterior part of the neck extending from the hyoid above to the trachea below. It can be split into the supraglottis, the glottis and the subglottis. The arterial supply is the superior and inferior laryngeal artery and the innervation is by branches of the vagus nerve. ",,,,,
Blocks & Skills,ChestDrain,,You have been asked to review a patient in the emergency department who is short of breath and hypoxic. What examination findings would suggest a diagnosis of tension pneumothorax? How would you treat a tension pneumothorax?,"The classic examination findings are hyperresonance to percussion, decreased breath sounds and a trachea deviated to the contralateral side. The basic observations might show hypoxia, tachycardia, tachypnoea and hypotension. Definitive treatment of a pneumothorax is insertion of a chest drain, although in an emergency a cannula can be inserted into the 2nd intercostal space in the mid-clavicular line.",,,Where would you insert a chest drain and what are the anatomical landmarks to help guide you to the insertion site? How do you insert the chest drain?,"A chest drain should be inserted into the safe triangle of the axilla. The anterior border is the lateral border of the pectoralis major. The posterior border is the latissimus dorsi. The inferior border is the 6th rib and the superior border is the axilla. The site should be cleaned, draped and anaesthetised with lidocaine. A needle and syringe should be inserted perpendicular to the skin just above the rib until air is aspirated. A guidewire should be fed superiorly into the pleural cavity and the needle removed. The skin should be incised, the track should be dilated and then the tube inserted.",,,How should the drain be connected to the patient and where should it be placed? What happens if the bottle is above the patient?,The drain should be connected to an underwater seal and the bottle next to the patient on the floor. The bottle should be kept below the level of the patient so that the water trap does not enter the tubing and the pleural space which may cause harm to the patient.,,,,,
