subject,topic,Title,question,image,option1,option2,option3,option4,option5,explain,correct,selected,answered,answeredCorrectly
Pharmacology & Statistics,Pharmacology,Antibiotics 3,What is the mechanism of action of Tazocin?,https://i.imgur.com/yo92MBd.jpg,Inhibits the bacterial ribosome ,Inhibits DNA synthesis,Folate inhibition,RNA inhibition,Inhibits cell wall synthesis,"Piperacillin-tazobactam (Tazocin) is a broad spectrum penicillin based antibiotic which binds to the penicillin binding site to inhibit synthesis of the cell wall. It is active against gram positive and negative, aerobic and anaerobic bacteria including pseudomonas.",Inhibits cell wall synthesis,TRUE,FALSE,FALSE
Pharmacology & Statistics,Pharmacology,Antibiotics 4,What is the mechanism of action of Cefuroxime?,https://i.imgur.com/yo92MBd.jpg,Inhibits cell wall synthesis,Folate inhibition,Inhibits DNA synthesis,RNA inhibition,Inhibits the bacterial ribosome ,Cefuroxime is a broad spectrum second generation cephalosporin which inhibits cell wall synthesis and has action against gram positive and negative bacteria. It is commonly given as prophylactic antibiotics in theatre.,Inhibits cell wall synthesis,TRUE,FALSE,FALSE
Pharmacology & Statistics,Pharmacology,Antibiotics 5,What is the mechanism of action of Meropenem?,https://i.imgur.com/yo92MBd.jpg,Folate inhibition,Inhibits DNA synthesis,Inhibits the bacterial ribosome ,RNA inhibition,Inhibits cell wall synthesis,Meropenem is a carbapenem antibiotic which inhibits cell wall synthesis. It is a potent broad spectrum antibiotic commonly given o intensive care for multi-resistant infections. It is active against gram positive and negative bacteria.,Inhibits cell wall synthesis,TRUE,FALSE,FALSE
Pharmacology & Statistics,Pharmacology,Antibiotics 6,What is the mechanism of action of Clindamycin?,https://i.imgur.com/yo92MBd.jpg,Folate inhibition,Inhibits DNA synthesis,Inhibits the bacterial 50S ribosome,Inhibits cell wall synthesis,RNA inhibition,Clindamycin inhibits the 50s bacterial ribosome thereby reducing protein synthesis. It has good penetrance and is effective against aerobic and anaerobic bacteria. It should be used with caution because it has a relatively high incidence of pseudomembranous colitis - a Clostridium difficile infection of the colon.,Inhibits the bacterial 50S ribosome,TRUE,FALSE,FALSE
Pharmacology & Statistics,Pharmacology,Antibiotics 7,What is the mechanism of action of Ciprofloxacin?,https://i.imgur.com/yo92MBd.jpg,Folate inhibition,Inhibits DNA synthesis,Inhibits the bacterial 50S ribosome,Inhibits cell wall synthesis,RNA inhibition,Ciprofloxacin is a broad spectrum flouroquinolone with action against gram positive and negative bacteria. It inhibits bacterial DNA gyrase.,Inhibits DNA synthesis,TRUE,FALSE,FALSE
Pharmacology & Statistics,Pharmacology,Antibiotics 8,What is the mechanism of action of Teicoplanin?,https://i.imgur.com/yo92MBd.jpg,Inhibits DNA synthesis,Inhibits the bacterial 50S ribosome,Folate inhibition,RNA inhibition,Inhibits cell wall synthesis,Teicoplanin is a broad spectrum Glycopeptide antibiotic (like Vancomycin). It has good penetrance and is active against gram positive bacteria. Teicoplanin inhibits the production of peptidoglycan cell wall. ,Inhibits cell wall synthesis,TRUE,FALSE,FALSE
Pharmacology & Statistics,Pharmacology,Antibiotics 9,Which of the following antibiotics is most likely to cause Clostridium difficile infection?,https://i.imgur.com/yo92MBd.jpg,Clindamycin,Gentamicin,Meropenem,Daptomycin,Metronidazole,"Clindamycin inhibits the 50s bacterial ribosome thereby reducing protein synthesis. It has good penetrance and is effective against aerobic and anaerobic bacteria. It should be used with caution because it has a relatively high incidence of pseudomembranous colitis - a Clostridium difficile infection of the colon. The risk of causing C. difficilie infection of antibiotics is compared to Amoxicillin: Clindamycin has an Odds Ratio of 3, cephalosporins have an OR of 2, Co-Amox / Tazocin have an OR of 1.5 and several antibiotics have no association (aminoglycosides, tetracyclines, macrolides)",Clindamycin,TRUE,FALSE,FALSE
Pharmacology & Statistics,Pharmacology,Anticoagulants 1,A 65 year old patient has been diagnosed with Atrial Fibrillation in the pre-operative clinic and started on Warfarin. Which of the following is most correct regarding Warfarin?,,Warfarin is presented as the more potent S enantiomer,Warfarin is only 50% bound to plasma protein,Warfarin inhibits all coagulation factors equally,The delay from commencement to therapeutic INR is due to long half life of coagulation factors,Warfarin has poor bioavailability,"Warfarin is a Vitamin K antagonist inhibiting factors II, IV, VII, IX and X. The effect takes 5 days because the half life of coagulation factors is relatively long, and it takes >72 hours to get to a steady state of Warfarin plasma concentration. Warfarin is 99% protein bound, 100% bioavailable, is presented as a racemic mixture and only inhibits the vitamin K dependent coagulation factors.",The delay from commencement to therapeutic INR is due to long half life of coagulation factors,TRUE,FALSE,FALSE
Pharmacology & Statistics,Pharmacology,Autonomic 1,"Anti-cholinergic syndrome is the effect of muscarinic receptor blockade causing delirium, mydriasis, tachycardia and a dry mouth. Which of the following drugs is least likely to cause anti-cholinergic syndrome?",,Cyclizine,Hyoscine,Glycopyrrolate,Amitriptyline,Promethazine,Central Anti-Cholinergic Syndrome is a consequence of Glycopyrrolate is a peripherally acting anti-cholinergic so does not cross the blood brain barrier so the risk of central cholinergic syndrome is reduced.,Glycopyrrolate,TRUE,FALSE,FALSE
Pharmacology & Statistics,Pharmacology,Cardiac Pharm 1,Which of the following is most true regarding Digoxin?,,Digoxin toxicity has no specific treatment,Low digoxin levels are associated with the 'reverse tick' sign,Digoxin is metabolised by the liver,Digoxin can cause renal failure,"Digoxin toxicity may cause: sinus bradycardia, prolonged PR, Short QT. ","Digoxin is a cardiac glycoside that increases the calcium concentration intracellularly. It is used for atrial fibrillation and heart failure. Digoxin toxicity is more likely in renal failure but not caused by it. Toxicity causes bradycardia, prolonged PR, short QT, dysrhythmias and the 'reverse' tick sign. Digoxin can be bound to the monoclonal antibody Digibind. Digoxin is excreted unchanged by the kidneys.","Digoxin toxicity may cause: sinus bradycardia, prolonged PR, Short QT. ",TRUE,FALSE,FALSE
Pharmacology & Statistics,Pharmacology,Cardiac Pharm 2,A patient on intensive care has been diagnosed with septic shock. You are considering starting noradrenaline. What is the effect of a noradrenaline infusion on this patient?,,Increased preload and reduced afterload,Reduced afterload and increased heart rate,Increased contractility and heart rate,"Increased preload, afterload and  reduced heart rate",Peripheral vasoconstriction and  tachycardia,"Noradrenaline acts primarily on alpha 1 adrenoceptors and partially on beta 1 adrenoceptors. Alpha 1 adrenoceptors cause vasoconstriction increasing afterload and coronary perfusion. The Anrep effect leads to increased cardiac output due to this vasoconstriction. At low doses a reflex bradycardia can be seen, but at higher doses the selectivity is lost and the heart rate remains stable.","Increased preload, afterload and  reduced heart rate",TRUE,FALSE,FALSE
Physiology & Anatomy,Physiology,Cardiology 1,A patient with a cardiac defect is being anaesthetised. The haemoglobin concentration is 100. The oxygen saturation of the end capillary blood is 100%. The mixed venous saturation is measured as 75%.  The arterial oxygen saturation is measured as 87%. What is the shunt percentage?,https://i.imgur.com/DIfbgTQ.jpg,42%,40%,60%,86%,52%,The shunt equation is: Qs/Qt =  (CcO2 - CaO2)/(CcO2 - CvO2). The oxygen content equation is CO2 = sO2 * Hb * 1.34. Using the numbers provided in the stem we can reach the answer which is around 52%,52%,TRUE,FALSE,FALSE
Pharmacology & Statistics,Pharmacology,CCB 1,Which of the following is a non-dihydropyridine calcium channel blocker?,,Diltiazem,Felodipine,Nimodipine,Amlodipine,Nifedipine,There are two types of calcium channel blocker: dihydropyridine(end in -pine) and non-dihydropyridine(Diltiazem and Verapamil). The former are potent vasodilators but have little effect on chronotropy or inotropy. The non-dihydropyridines have a much greater depressive effect on cardiac conduction and contractility. They both act on the L-type calcium channel. ,Diltiazem,TRUE,FALSE,FALSE
Physiology & Anatomy,Physiology,Coagulation 1,"A 25 year old male has sustained a stabbing injury to the leg and is bleeding profusely. He is hypotensive, tachycardic and disorientated. He tells you that he has a congenital bleeding disorder. After discussion with the haematologist you administer Recombinant Factor VIIa. Which of the following disorders is most appropriately treated with recombinant Factor VIIa?",https://i.imgur.com/PCszbdd.jpg,Von Willebrand Disease,Christmas Disease,Haemophilia A,Protein C & S deficiency,Alcoholic Liver disease,"Recombinant Factor VIIa activates the clotting cascade via the extrinsic pathway. It is only recommended for patients with Haemophilia A or B because they are deficient in Factors VIII and IX respectively. While Recombinant Factor VIIa has been trialled in multiple trauma settings it is prothrombotic causing an increased rate of DVT, PE and myocardial infarction. ",Haemophilia A,TRUE,FALSE,FALSE
Physiology & Anatomy,Physiology,Coagulation 2,A 35 year old  patient with von Willebrand's disease has suffered a leg laceration and is bleeding. Which of the following medications is effective in improving  clotting function in patients with von Willebrand's disease?,,Noradrenaline,Dopexamine,Desmopressin,Dopamine,Ephedrine,"Desmopressin is effective in improving the clotting function of those patients with von Willebrand's disease, and Haemophilia A, by increasing the release of vWF from platelets. It can also be used to improve clotting function in patients who have been taking aspirin who require emergency surgery. The mechanism of action is not well understood.",Desmopressin,TRUE,FALSE,FALSE
Physics & Equipment,Equipment,Damping 1,Regarding resonance and damping:,,An overdamped system will show oscillations continuing for a long time,Optimal damping occurs when the damping factor is 1.00 and provides the most rapid response,Arterial line blood pressure measurement is not affected by clots and bubbles,An underdamped system will be slow to respond,An arterial line tubing is relatively short and stiff to prevent resonance,"An arterial cannula is a 20g cannula connected to tubing which is designed to be 'short and stiff' even if it appears to the trainee to actually be long and flexible. Critical damping has a ratio of 1.0 and optimal damping has a ratio of 0.64. Damping is the decrease in oscillation due to energy loss. Overdamped traces will be slow to respond but unlikely to overshoot, underdamped traces will respond quickly but overshoot. Optimal damping is a good balance between quick response with minimal overshoot. Clots and bubbles are causes of excessive damping.",An arterial line tubing is relatively short and stiff to prevent resonance,TRUE,FALSE,FALSE
Physiology & Anatomy,Anatomy,Diaphragm 1,Which of the following is most correct regarding the thoracic diaphragm:,https://i.imgur.com/Cmn3acx.jpg,The motor function of the diaphragm is mostly controlled by the phrenic nerve,The diaphragm is innervated by the vagus nerve,The rate of phrenic nerve block after interscalene block is around 50%,The sensory afferents of the diaphragm are conducted by the phrenic nerve only,Presence of a hiatus hernia is of no significance to the anaesthetist,"The diaphragm is controlled entirely by the phrenic nerve. The sensory afferents travel in the phrenic nerve, intercostal nerve and subcostal nerves peripherally (not the vagus nerve). The diaphragm developed embryologically in the cervical spinal region which is why the phrenic nerve has roots of C3, 4, 5. A hiatus hernia is of great significance to the anaesthetist because it indicates a high risk of reflux and aspiration. This risk might be managed by inserting an ETT or performing a Rapid Sequence Induction (RSI). The rate of phrenic nerve block from an interscalene injection is around 100%..",The motor function of the diaphragm is mostly controlled by the phrenic nerve,TRUE,FALSE,FALSE
Pharmacology & Statistics,Pharmacology,DM 1,A 35 year old patient with  T1DM has been placed on a variable rate insulin infusion (VRII) after undergoing an emergency operation. You have been asked to review the patient because their glucose reading is 5.1 mmol/litre. What is the most appropriate course of action?,,"Reduce the VRII rate,  administer Glucose 100mL 20% IV, recheck Glucose in 15 minutes","No change to VRII, administer Glucose IV 20% 50mL",Stop the VRII ,Administer oral glucose tabs,"Reduce the VRII rate, administer Glucose IV 50mL 20%, recheck Glucose every hour","Patients with diabetes on a VRIII should have glucose targets between 6 - 10 mmol/litre. The correct answer if the glucose level is between 4 -6 mmol/litre is to give Glucose 20% 50mL IV, reduce the VRII and recheck glucose every hour according to the BJA paper 'Perioperative management of the patient with diabetes requiring emergency surgery'. If the glucose level falls below 4.1mmol then Glucose 20% 100mL IV should be given and the glucose level checked every 15 minutes.","Reduce the VRII rate, administer Glucose IV 50mL 20%, recheck Glucose every hour",TRUE,FALSE,FALSE
Physiology & Anatomy,Physiology,DM 2,"A 52 year old female patient has type II diabetes mellitus. Her HbA1c is 9.5%. She takes Metformin 1g OD, Sertraline and Codeine. She is booked for an elective knee replacement. What is the most appropriate management of her diabetes during the perioperative period?",,"First on the list, omit Metformin on day of surgery, continue Pioglitazone",Admit the night before surgery to optimise blood glucose,"First on the list, take Metformin and Pioglitazone as normal",Postpone surgery and commence gliclazide,"First on the list, omit Metformin and Pioglitazone and commence VRIII","Metformin and Pioglitazone do not need to be discontinued in the perioperative period unless there is a risk of AKI,","First on the list, take Metformin and Pioglitazone as normal",TRUE,FALSE,FALSE
Physiology & Anatomy,Physiology,Electrolytes 1,Which of the following ions is of greater concentration intracellularly than extracellularly?,,Selenium,Bicarbonate,Chloride,Potassium,Sodium,The intracellular concentration of potassium is much higher than the extracellular concentration. All of the other ions here are higher in the extracellular fluid than the intracellular fluid. ,Potassium,TRUE,FALSE,FALSE
Physiology & Anatomy,Physiology,Electrolytes 2,Which of the two most important intracellular buffering systems?,,Phosphate and Ammonia,Haemoglobin and protein,Bicarbonate and Haemoglobin,Protein and Phosphate,Bicarbonate and phosphate,"The most important intracellular buffers are protein and phosphate. The most important buffer systems in the plasma are bicarbonate, haemoglobin and protein. The most significant urine buffers are Phosphate and Ammonia. Boney calcium carbonate is important in buffering prolonged metabolic acidosis.",Protein and Phosphate,TRUE,FALSE,FALSE
Physiology & Anatomy,Physiology,Electrolytes 3,Which of the following is true about the bicarbonate buffering system?,https://i.imgur.com/TLOQfnD.jpg,The plasma pH is easily manipulated by choice of crystalloid fluid administration,The CO2-bicarbonate buffering system is responsible for 20% of extracellular buffering,the p in pH and pKa stands for partial ,The pH of bicarbonate is 6.1,"The pKa is dependent on the temperature, [H+] and the ionic concentration. ","The pKa of the bicarbonate system is dependent on the temperature, [H+] and the [HCO3] and pCO2 according to the HH equation. The pKa is 6.1 physiologically. The p in pH and pKa possibly stands for 'power' but has not been confirmed. The system is responsible for 80% of ECF buffering. The plasma pH is not easily manipulated due to the multiple buffering systems.","The pKa is dependent on the temperature, [H+] and the ionic concentration. ",TRUE,FALSE,FALSE
Physiology & Anatomy,Physiology,Electrolytes 4,Which of the following is a cause of nephrogenic diabetes insipidus?,,Sarcoidosis,Lithium,Head injury,Neurosurgery,Tuberculosis,"Diabetes insipidus is a disease caused by the absolute or relative lack of effect of anti-diuretic hormone. Cranial DI is caused by inadequate secretion of ADH. Nephrogenic DI is caused by the inability of the kidney to respond to ADH. Lithium is a cause of nephrogenic Diabetes insipidus. Other causes are Familial DI, idiopathic, Renal tubular acidosis, glibenclamide and demeclocycline. Cranial Diabetes",Lithium,TRUE,FALSE,FALSE
Physiology & Anatomy,Physiology,Electrolytes 5,Which of the following is most correct regarding Magnesium?,,Magnesium increases  respiratory drive but causes mild bronchospasm,Magnesium reduces the release of acetylcholine at the neuromuscular junction,Increased magnesium concentration causes hypertonia and hyperreflexia,50% of the population are chronically deficient in magnesium,Magnesium is predominately extracellular,"Magnesium is the 4th most abundant cation in the body. It is 99% intracellular and is used to treat asthma, pre-eclampsia, dysrhythmias and as an analgesic. In excess it causes hyporeflexia, hypotonia, respiratory depression and coma.",Magnesium reduces the release of acetylcholine at the neuromuscular junction,TRUE,FALSE,FALSE
Physiology & Anatomy,Physiology,Electrolytes 6,Which of the following is a cause of hypomagnesaemia?,,Penicillin based antibiotics,Hypoparathyroidism,Diuretics,Asthma,Metformin,"Diuretics can cause hypomagnesaemia. Other causes are deficient intake or absorption, increased GI or GU losses (e.g. diarrhoea or diuretics and redistribution due to insulin, hyperparathyroidism or massive transfusion of citrated blood.",Diuretics,TRUE,FALSE,FALSE
Physiology & Anatomy,Physiology,Electrolytes 7,Feature of Hypercalcaemic include:,,Trousseaus sign,Carpopedal spasm,Kidney stones,Long QT,Chvostek's sign,"The features of HYPERcalcaemia are: Painful bones, renal stones, abdominal groans, psychiatric moans . The features of HYPOcalcaemia are: neuromuscular excitability, carpopedal spasm, tetany, Chvostek's sign (cheek twitch), Trousseu's sign (BP cuff causing arm spasm), QT prolongation, coma, seizure.",Kidney stones,TRUE,FALSE,FALSE
Physiology & Anatomy,Physiology,Emergencies 1,A 5 year old has been booked for an adenotonsillectomy on a routine ENT list. Which of the following is the strongest risk factor for developing laryngospasm?,,Enflurane,Light plane of anaesthesia,Adenotonsillectomy surgery,Thiopentone,Airway manipulation,"Laryngospasm is prolonged closure of the glottis in response to laryngeal or visceral stimulation in an under anaesthetised patient. The factors associated with laryngospasm are: airway manipulation, irritant on the larynx, paediatric patient, recent respiratory infection and ENT surgery. The treatment is to apply 100% O2 with 5 cmH20 of PEEP via facemask. If this fails then the depth of anaesthesia should be increased with an IV bolus of propofol and then a dose of Suxamethonium IV or IM should be considered. Laryngospasm is an anaesthetic emergency which can rapidly lead to hypoxia, bradycardia and cardiac arrest.",Airway manipulation,TRUE,FALSE,FALSE
Physiology & Anatomy,Physiology,Emergencies 10,"A 52 year old man who works as a bartender fell and sustained a femoral fracture. 24 hours after his operation you are called to see him on the trauma ward. He is hypoxic with SpO2 of 92% on 35% FiO2, Tachycardic at 105 bpm, Febrile at 38.5 degrees celcius and tachypnoeic at 22. He has a petechial rash on his chest. What is the most likely diagnosis?",,Fat embolism,Pulmonary Embolism,Sepsis,Acute Myocardial Infarction,Acute alcohol withdrawal,"Fat embolism can be difficult to diagnose, and there are multiple diagnostic scoring systems, but this case exhibits many features suggesting this diagnosis. Rash, hypoxia, tachypnoea, tachycardia and fever. It may be considered a subset of pulmonary embolism and there is no specific management other than supportive measures.",Fat embolism,TRUE,FALSE,FALSE
Physiology & Anatomy,Physiology,Emergencies 11,"A 28 year old patient has been anaesthetised for a laparoscopic appendicectomy by one of your colleagues. You have offered to let them out for a break and are conducting a review of the patient. You notice a laryngeal mask in situ. The patient is paralysed and ventilated with peak pressure of 30 cmH20, PEEP of 5 cmH20 and FiO2 of 85%. The patient has oxygen saturations of 90% and coarse crepitations on auscultation. What is the most likely diagnosis?",,Inadequate depth of anaesthesia,Community Acquired Pneumonia,Aspiration of stomach contents,Pulmonary Oedema,Pulmonary Embolism,Aspiration of gastric contents is a risk of using a laryngeal mask during laparoscopic procedures which is why most anaesthetists will perform a rapid sequence induction and insert an endotracheal tube. This patient has signs of aspiration with crepitations and hypoxia. The FiO2 should be increased to 100% and the surgeon should be asked to deflate the abdomen while the pharynx is suctioned and you prepare to intubate the patient.,Aspiration of stomach contents,TRUE,FALSE,FALSE
Physiology & Anatomy,Physiology,Emergencies 12,"You have been called to help in intensive care. A junior colleague has removed an internal jugular central line from a patient who is  sitting up and looking distressed. The SpO2 is 84%, the HR is 110 and the SBP is 95. What is the next step in managing the patient?",,"Place in left lateral position, give 100% Oxygen, flood the site with saline.",Lie flat and give 100% Oxygen and metaraminol 1mg IV,Re-insert central line and start noradrenaline infusion,"Give 100% Oxygen FiO2, insert Peripheral Cannula and administer Fluid bolus","Give antibiotics, IV crystalloid bolus and consider DC cardioversion","Care should be taken when removing a central line in the sitting up position. If the patient is breathing spontaneously and sitting up the pressure is likely to be lower in the thorax than there is a risk of air embolism. The treatment for air embolism is to place in left lateral position, give 100% oxygen and flood the site with saline. A","Place in left lateral position, give 100% Oxygen, flood the site with saline.",TRUE,FALSE,FALSE
Physiology & Anatomy,Physiology,Emergencies 13,A 43 year old patient has been anaesthetised for an elective laparoscopic cholecystectomy by one of your colleagues who has failed to intubate the patient. Propofol 2mg/kg and Suxamethonium 1mg/kg have been given and 3 intubation attempts have been made with a video laryngoscope after adjusting position. You try and fail to intubate the patient. You also fail to ventilate the patient with a laryngeal mask but are able to adequately ventilate and oxygenate with a mask and geudel. What is the next most appropriate course of action?,,Intubate the patient using an intubating LMA,Wake the patient up,Emergency front of neck airway access,Attempt nasal intubation,Continue the case with face mask ventilation,The decision making process regarding waking the patient up vs continuing the case depends on whether you are able to oxygenate the patient using either an LMA or face mask ventilation. This is a non-emergency case and oxygenation is adequate with face mask ventilation so the patient can be woken up. If this were a life-saving operation and oxygenation via face mask wasn't possible then front of neck access might be considered among other methods of improving ventilation.,Wake the patient up,TRUE,FALSE,FALSE
Physiology & Anatomy,Physiology,Emergencies 2,A 5 year old has been booked for an adenotonsillectomy on a routine ENT list. During a gas induction using sevoflurane a high pitched squeak is heard and the end tidal CO2 trace is lost. You suspect that the patient has developed laryngospasm. What is the most appropriate initial treatment?,,Propofol IV 0.5 to 2 mg/kg bolus,Increase Fresh Gas Flow to 12 L/min,Switch to 100% oxygen and are applying 5 cmH2O of PEEP using a facemask,Increase Sevoflurane vaporiser dial to 6,Paralyse using Suxamethonium 1 mg/kg IV,"Laryngospasm is prolonged closure of the glottis in response to laryngeal or visceral stimulation in an under anaesthetised patient. The factors associated with laryngospasm are: airway manipulation, irritant on the larynx, paediatric patient, recent respiratory infection and ENT surgery. The treatment is to apply 100% O2 with 5 cmH20 of PEEP via facemask. If this fails then the depth of anaesthesia should be increased with an IV bolus of propofol and then a dose of Suxamethonium IV or IM should be considered. Laryngospasm is an anaesthetic emergency which can rapidly lead to hypoxia, bradycardia and cardiac arrest.",Switch to 100% oxygen and are applying 5 cmH2O of PEEP using a facemask,TRUE,FALSE,FALSE
Physiology & Anatomy,Physiology,Emergencies 3,A 5 year old has been booked for an adenotonsillectomy on a routine ENT list. During a gas induction using sevoflurane a high pitched squeak is heard and the end tidal CO2 trace is lost. You suspect that the patient has developed laryngospasm. You have switched to 100% oxygen and are applying 5 cmH2O of PEEP using a facemask. What is the most appropriate next step in treatment?,,Increase Sevoflurane vaporiser dial to 6,Propofol IV 0.5 to 2 mg/kg bolus,Increase Fresh Gas Flow to 12 L/min,Insert a laryngeal mask airway,Paralyse using Suxamethonium 1 mg/kg IV,"Laryngospasm is prolonged closure of the glottis in response to laryngeal or visceral stimulation in an under anaesthetised patient. The factors associated with laryngospasm are: airway manipulation, irritant on the larynx, paediatric patient, recent respiratory infection and ENT surgery. The treatment is to apply 100% O2 with 5 cmH20 of PEEP via facemask. If this fails then the depth of anaesthesia should be increased with an IV bolus of propofol and then a dose of Suxamethonium IV or IM should be considered. Laryngospasm is an anaesthetic emergency which can rapidly lead to hypoxia, bradycardia and cardiac arrest.",Propofol IV 0.5 to 2 mg/kg bolus,TRUE,FALSE,FALSE
