Subject,Topic,QuestionType,MainStem,QuestionText,OptionsSeparatedByForwardSlash,CorrectOption,Explanation,ImagePath,References
Simulation,EpiduralTopup,SBA,A CT2 has asked for help in obstetric theatre after an epidural top-up for forceps delivery. The patient has become hypotensive and bradycardic.,What is the initial dose of intralipid for local anaesthetic toxicity?,100mL/50mL/1000mL/15mL\kg/1.5mL\kg,1.5mL\kg,Intralipid initial bolus of 1.5mL/kg over 1 minute followed by an infusion of 15 mL/kg/hour. The intralipid may act as a lipid sink for the lipid soluble local anaesthetics,EpiduralTopUpD.jpeg,"Conversion of labour epidural analgesia to surgical anaesthesia for emergency intrapartum Caesarean section, N Desai BJA Ed 2020"
Simulation,EpiduralTopup,InputText,A CT2 has asked for help in obstetric theatre after an epidural top-up for forceps delivery. The patient has become hypotensive and bradycardic.,What are the symptoms and signs of Local Anaesthetic Toxicity?,Metallic taste/Perioral numbness/Anxiety/Seizures/Bradycardia/Hypotension,Metallic taste/Perioral numbness/Anxiety/Seizures/Bradycardia/Hypotension,"Local Anaesthetic Toxicity Syndrome (LAST) can present quickly or with a delay and causes excitatory then depressive signs affecting the CNS and CVS. Anxiety, tachycardia and hypertension can lead to depression, bradycardia and hypotension.",,"Conversion of labour epidural analgesia to surgical anaesthesia for emergency intrapartum Caesarean section, N Desai BJA Ed 2020"
Simulation,EpiduralTopup,SBA,A CT2 has asked for help in obstetric theatre after an epidural top-up for forceps delivery.,Epidural Top-up failed so you plan to do a spinal injection of anaesthetic. What dose of Heavy Bupivacaine would be recommended to reduce the risk of high spinal block?,Normal Dose/20% dose reduction/20% dose increase/50% dose reduction/50% dose increase,20% dose reduction,"Spinal after failed Epidural Topup is associated with higher risk of failure due to aspiration of LA rather than CSF, and higher risk of total spinal block probably due to leakage of LA through the dural hole. Measures can be taken to reduce this risk: sitting position, 20% dose reduction, and gentle supine positioning.",,"Conversion of labour epidural analgesia to surgical anaesthesia for emergency intrapartum Caesarean section, N Desai BJA Ed 2020"
Simulation,LowGCS,ShowAnswer,You have been asked to review a patient in resus following a road traffic accident. His GCS was 14 on arrival but has now dropped to 3 and his right pupil is fixed and dilated.,What are the priorities on initial assessment?,ShowAnswer,ShowAnswer,"The hypertension, bradycardia and reduced GCS suggest a serious deterioration in the condition of the patient who is at risk of airway compromise and may be suffering from increased intracranial pressure. ABCDE assessment of the patient is essential. 100% O2 should be applied. Check ETT position, ensure adequate ventilation. Check access and adequate sedation level. Confirm GCS, check pupils and posture. Perform basic neurological examination. Urgent referral to the Neurosurgical team and consideration of treatment for raised intracranial pressure.",LowGCSA.jpeg,"Management of the Head Injured Patient, A Goswami"
Simulation,LowGCS,InputText,You have been asked to review a patient in resus who was brought to hospital by ambulance following a road traffic accident. His GCS was 14 on arrival but has now dropped to 3.,What are the indications for intubation in the patient with head injury?,GCS <9/Inability to protect airway/SpO2 < 90%/Signs of cerebral herniation/Raised CO2,GCS <9/Inability to protect airway/SpO2 < 90%/Signs of cerebral herniation,"Intubation is recommended in head injury to promote oxygenation, ventilation and perfusion of the brain in a patient with a reduced level of consciousness. ",LowGCSB.jpeg,"Management of the Head Injured Patient, A Goswami"
Simulation,LowGCS,Checklist,You have been asked to review a patient in resus who was brought to hospital by ambulance following a road traffic accident. His GCS was 14 on arrival but has now dropped to 3.,You have been asked by the neurosurgical registrar to give osmotic therapy for raised intracranial pressure. Which can be given in a peripheral cannula?,Mannitol 10%/Mannitol 20%/Saline 3%/Saline 5%/Saline 10%,Mannitol 10%/Mannitol 20%/Saline 3%,Sodium Chloride 3% IV 3 - 5 mL/kg or Mannitol 0.25 to 1 g/ kg can be given through a peripheral cannula but the cannula should be flushed afterwards and a central cannula would be preferable.,LowGCSC.jpeg,"Management of the Head Injured Patient, A Goswami"
Simulation,LowGCS,SBA,You have been asked to review a patient in resus who was brought to hospital by ambulance following a road traffic accident. His GCS was 14 on arrival but has now dropped to 3.,"Look at the blood gas result. Using these results, would you change anything about your current ventilation settings?",Increase RR to 18/Increase FiO2 to 100%/Decrease FiO2 50%/Increase Vt to 700mL/No change necessary,Increase RR to 18,"The CO2 is above the target range of 4.5 - 5.0 so ventilation must be increased. The oxygenation is much higher than required. Increase rasp rate, increase tidal volume, increase expiratory time, decrease inspiratory time. The increase of tidal volume to 700mL would likely be excessive.",LowGCSC.jpeg,"Management of the Head Injured Patient, A Goswami"
Simulation,LowGCS,SBA,You have been asked to review a patient in resus who was brought to hospital by ambulance following a road traffic accident. His GCS was 14 on arrival but has now dropped to 3.,What is the normal cerebral blood flow?,100mL\100g\min/75mL\100g\min/50mL\100g\min/25mL\100g\min,50mL\100g\min,Normal Cerebral Blood Flow is 50mL / 100g / minute and remains stable in the uninjured brain between a Cerebral Perfusion Pressure of 60 and 160. Cerebral Perfusion Pressure = Mean Arterial Pressure - Intracranial Pressure.,LowGCSB.jpeg,"Management of the Head Injured Patient, A Goswami"
Simulation,LowGCS,ShowAnswer,You have been asked to review a patient in A&E who was brought to hospital by ambulance following a road traffic accident. His GCS was 14 on arrival but has now dropped to 3.,What are the therapeutic targets in managing severe head injury?,ShowAnswer,ShowAnswer,"PaO2 > 13, PaCO2 of 4.5 to 5.0, MAP > 80, CPP 50 to 70, Glucose 5 - 10, Temperature 36.5 to 37.5 Celsius.",LowGCSB.jpeg,"Management of the Head Injured Patient, A Goswami"
Simulation,TraumaTheatre,ShowAnswer,You have been asked to help a CT1 who has just performed an RSI on a 65 year old fit and well  patient who has sustained a femur fracture. The patient has become hypotensive and hypoxic after moving through to theatre.,What are the potential causes of combined hypotension and hypoxia?,ShowAnswer,ShowAnswer,"Hypoxaemia: Airway obstruction, Inadequate ventilation, V/Q mismatch,  Fat Embolism, Pulmonary Embolism, Pneumothorax, Atelectasis, Sepsis. ~Hypotension: Fat Embolism, Pulmonary Embolism, Sepsis, Haemorrhage, Anaphylaxis, Anaesthetic overdose, Myocardial Infarction",TraumaTheatreA.jpeg,
Simulation,TraumaTheatre,ShowAnswer,You have been asked to help a CT1 who has just performed an RSI on a 65 year old fit and well  patient who has sustained a femur fracture. The patient has become hypotensive and hypoxic after moving through to theatre.,What are the symptoms and signs of fat embolism?,,,,TraumaTheatreB.jpeg,
Simulation,TraumaTheatre,SBA,You have been asked to help a CT1 who has just performed an RSI on a 65 year old fit and well  patient who has sustained a femur fracture. The patient has become hypotensive and hypoxic after moving through to theatre.,When does Fat Embolism usually occur?,At time of initial injury/On manipulation/In theatre/4 - 8 hours post-operatively/24 - 72 hours post-operatively,24 - 72 hours post-operatively,"Fat globules are released into the blood whenever there is breakage of the cortex of the bone. The significance of this is usually minimal without clinical significance, but FES occurs when the globules cause organ dysfunction. ~ FES might occur at any of the times above, but it is most likely to occur insidiously between 24 and 72 hours.",TraumaTheatreC.jpeg,
Simulation,TraumaTheatre,InputText,You have been asked to help a CT1 who has just performed an RSI on a 65 year old fit and well  patient who has sustained a femur fracture. The patient has become hypotensive and hypoxic after moving through to theatre.,What is the Gurd Criteria for diagnosis of Fat Embolism Syndrome?,Respiratory Insufficiency/Cerebral Involvement/Petecial Rash/Pyrexia (minor)/Tachycardia (minor)/Retinal changes (minor),Respiratory Insufficiency/Cerebral Involvement/Petecial Rash/Pyrexia (minor)/Tachycardia (minor)/Retinal changes (minor),Gurd did research on Fat Embolism Syndrome in 1970 and developed this decision tool for diagnosis. He estimated the incidence as 20% for long bone fractures. ,,
Simulation,TraumaTheatre,InputText,You have been asked to help a CT1 who has just performed an RSI on a 65 year old fit and well  patient who has sustained a femur fracture. The patient has become hypotensive and hypoxic after moving through to theatre.,What are the proposed theories behind the pathogenesis of Fat Embolism Syndrome?,Mechanical/Coagulation/Biochemical,Mechanical/Coagulation/Biochemical,~Mechanical: fat obstructs blood flow causing ischaemia. ~Coagulation: blood clot obstructs blood flow causing ischaemia.~Biochemical: Increased fat and lipase leads to free fatty acids.,TraumaTheatreC.jpeg,
Simulation,TraumaTheatre,ShowAnswer,You have been asked to help a CT1 who has just performed an RSI on a 65 year old fit and well  patient who has sustained a femur fracture. The patient has become hypotensive and hypoxic after moving through to theatre.,What is the pathogenesis of Fat Embolism Syndrome?,ShowAnswer,ShowAnswer,"The theories of mechanical, coagulant and biochemical  aim to explain how endothelial damage occurs which leads to oedema, haemorrhage, collapse  leading to VQ mismatch and hypoxia. ",,
Simulation,TraumaTheatre,InputText,You have been asked to help a CT1 who has just performed an RSI on a 65 year old fit and well  patient who has sustained a femur fracture. The patient has become hypotensive and hypoxic after moving through to theatre.,What is the management of Fat Embolism Syndrome?,Fat Embolism Syndrome should be treated with supportive care to ensure adequate perfusion and oxygenation. Critical care should be considered. ,,,,
Simulation,ECGChanges,,,A CT1 has anaesthetised a 71 year old smoker for a knee replacement and has now noticed some changes on the ECG monitor. They are intubated and ventilated. Please assess the patient and commence management where appropriate.,,,"The ECG appears to show acute ischaemia with moderate  hypotension, I would ask the surgeon to stop while I  conduct a  full ABCDE assessment, apply 100% oxygen. A - check ETT position. B - look and listen to chest. C - Check perfusion, BP, Temp and HR. Listen to heart sounds, get urgent 12 lead ECG. If that confirms ischaemia then cancel the case, give GTN spray sublingually ask for help from senior colleague and make an urgent referral to cardiology. I would consider immediate referral to Cardiology to discuss further anticoagulant or interventional management, bearing in mind the risk of bleeding.",ECGChangesA.jpeg,
Simulation,ECGChanges,,,How would you manage this patient?,,,"The ECG changes confirm perioperative ischaemia and hypotension. I would ensure good IV access, give a fluid bolus and consider a vasopressor to improve the hypotension which may have caused the ischaemia. If there were no improvement I would give  a spray of GTN sublingually. I would cancel the case, send bloods and refer to cardiology and arrange a bed on HDU/CCU",ECGChangesB.jpeg,
Simulation,ECGChanges,,,What are the modifiable and non-modifiable risk factors for perioperative MI?,,,"Risk Factors for Perioperative MI are: Age, ASA grade, current smoker, DM, Coronary artery disease, Heart failure, Anaemia and severity of surgery being undertaken. ",ECGChangesB.jpeg,
Simulation,ECGChanges,,,What are the common scoring systems for risk of perioperative mortality?,,,"Lee’s Revised Cardiac Risk Index has 6 factors: Major surgery, IHD, CCF, CVA, DM on insulin, Creatining > 76. ASA score is commonly used and gives a score from 1 to 6 with increasing severity: Normal and healthy, mild disease, severe disease, life-threatening disease, moribund and brain-dead.",ECGChangesB.jpeg,
Simulation,Fever,,,You have been called to general theatre to help a CT1. The patient is a 35 year old with no known allergies who is undergoing a laparoscopic appendicectomy. The patient is intubated and ventilated. The CT1 is concerned about tachycardia.,,,"The observations show a raised end tidal CO2, tachycardia and slightly increased temperature. This could be due to inadequate anaesthesia or malignant hyperthermia among other things.  I would ask the surgeon to stop while I  conduct a  full ABCDE assessment, apply 100% oxygen. A - check ETT position. B - look and listen to chest. C - Check perfusion, BP, Temp and HR, and send an arterial blood gas. I would ensure adequate anaesthesia and analgesia. I would then ask for senior help and begin treatment for malignant hyperthermia if suspected.",FeverA.jpeg,
Simulation,Fever,,,What is the differential diagnosis for raised etCO2 and tachycardia?,,,"CVS/RESP: hypoventilation, sepsis. IATROGENIC: Lap. CO2, overwarming. ENDO: thyrotoxicosis, pheochromocytoma. NEURO: intracranial bleed or tumour. TOXIN: ecstasy, cocaine.",FeverB.jpeg,
Simulation,Fever,,,What is the treatment for malignant hyperthermia?,,,"1) Declare emergency, ask for help, stop surgery. 2) Change anaesthetic: turn-off volatile, start TIVA, switch ventilation device. 3) Reduce CO2 and Temp: Hyperventilate, 100% O2, remove gown. 4) Dantrolene - assign someone to draw up and give Dantrolene 2.5 mg/kg every 5 minutes. 5) Send bloods and refer to ICU once recovered",FeverC.jpeg,
Simulation,Fever,,,What is the pathophysiology of Malignant Hyperthermia? How can you test family members for Malignant Hyperthermia? ,,,"A rare genetic disorder leading to abnormal ryanodine receptor on the sarcoplasmic reticulum leading to uncoupling of metabolism with requirement, sustained contraction, hyperthermia, Increased oxygen requirement and CO2 production. Masseter spasm is an early sign, and is not responsive to muscle relaxation. Patients and their families should be referred for genetic testing and possibly muscle biopsy.",FeverC.jpeg,
Resuscitation,Resus1,,,You are attending a cardiac arrest call for a 63 year old male who was found in cardiac arrest in the A&E waiting room. A paramedic is currently doing chest compressions and you have been asked to lead the resuscitation attempt. Please describe how you would lead the resuscitation.,,,"I would lead the arrest according to ALS guidelines. I would  confirm cardiac arrest, attach the defibrillator and switch it on at 150J. CPR should continue in a 30:2 ratio until the airway is secured. I would then pause CPR to assess the rhythm and follow the shockable or non-shockable side of the algorithm. At the same time I would ensure that good quality compressions are being performed, 100% oxygen is being used for adequate ventilation and vascular access has been established. I would then consider all of the reversible causes of cardiac arrest.",https://storage.googleapis.com/production-hostgator-v1-0-7/127/338127/xa71s1rE/01a7ec5321a44c5ca25e3ba4ec672f77,
Resuscitation,Resus2,,,What is the rhythm shown on the display? Would you deliver a shock to this patient? How would you deliver a shock to the patient safely? ,,,"The rhythm is Ventricular Tachycardia which is a shockable rhythm. I would ask to continue CPR while I prepare to shock the patient. The Defibrillator should be set to 150J for an adult and then the charge button should be pressed. I would ask everyone except the person doing compressions stand back and oxygen removed from the patient. Once the defibrillator is ready, I would ensure that everyone is clear including the one doing compressions, then press the shock button. CPR can recommence immediately after without doing a subsequent rhythm check.",https://storage.googleapis.com/production-hostgator-v1-0-7/127/338127/xa71s1rE/01a7ec5321a44c5ca25e3ba4ec672f77,
Resuscitation,Resus3,,,"Would you give any drugs to this patient if resuscitation continue for 5 cycles? What drug, dose and time?",,,I would give Adrenaline 1mg IV every 3 to 5 minutes and Amiodarone 300mg IV every 3 shocks.,,
,,,,,,,,,
Resuscitation,Resus2,,,You are attending a cardiac arrest call for a 59 year old male who was found in cardiac arrest having collapsed in the bathroom on the surgical ward. A paramedic is currently doing chest compressions and you have been asked to lead the resuscitation attempt. Please describe how you would lead the resuscitation.,,,"I would lead the arrest according to ALS guidelines. I would  confirm cardiac arrest, attach the defibrillator and switch it on at 150J. CPR should continue in a 30:2 ratio until the airway is secured. I would then pause CPR to assess the rhythm and follow the shockable or non-shockable side of the algorithm. At the same time I would ensure that good quality compressions are being performed, 100% oxygen is being used for adequate ventilation and vascular access has been established. I would then consider all of the reversible causes of cardiac arrest.",https://storage.googleapis.com/production-hostgator-v1-0-7/127/338127/xa71s1rE/2ebf0b08e84845bd95f3f0e691b83f19,
Resuscitation,Resus2,,,What is the rhythm shown on the display? Would you deliver a shock to this patient? How would you deliver a shock to the patient safely? ,,,"The rhythm is Ventricular Fibrillation which is a shockable rhythm. I would ask to continue CPR while I prepare to shock the patient. The Defibrillator should be set to 150J for an adult and then the charge button should be pressed. I would ask everyone except the person doing compressions stand back and oxygen removed from the patient. Once the defibrillator is ready, I would ensure that everyone is clear including the one doing compressions, then press the shock button. CPR can recommence immediately after without doing a subsequent rhythm check.",https://storage.googleapis.com/production-hostgator-v1-0-7/127/338127/xa71s1rE/2ebf0b08e84845bd95f3f0e691b83f19,
Resuscitation,Resus2,,,"Would you give any drugs to this patient if resuscitation continue for 5 cycles? What drug, dose and time?",,,I would give Adrenaline 1mg IV every 3 to 5 minutes and Amiodarone 300mg IV every 3 shocks.,,
,,,,,,,,,
Resuscitation,Resus3,,,You are attending a cardiac arrest call for a 73 year old male who was brought in by ambulance 45 minutes ago alert and feeling unwell. He subsequently went into cardiac arrest. A paramedic is currently doing chest compressions and you have been asked to lead the resuscitation attempt. Please describe how you would lead the resuscitation.,,,"I would lead the arrest according to ALS guidelines. I would  confirm cardiac arrest, attach the defibrillator and switch it on at 150J. CPR should continue in a 30:2 ratio until the airway is secured. I would then pause CPR to assess the rhythm and follow the shockable or non-shockable side of the algorithm. At the same time I would ensure that good quality compressions are being performed, 100% oxygen is being used for adequate ventilation and vascular access has been established. I would then consider all of the reversible causes of cardiac arrest.",https://storage.googleapis.com/production-hostgator-v1-0-7/127/338127/xa71s1rE/d324c8fb60074c31ae3b27e7296b0e5b,
Resuscitation,Resus3,,,What is the rhythm shown on the display? Would you deliver a shock to this patient?  Would you give atropine to this patient while in cardiac arrest?,,,The rhythm is Pulseless Electrical Activity (PEA) which is a non-shockable rhythm. CPR should be continued and a shock should not be delivered. Atropine is not in the ALS algorithm so shouldn't be given during CPR. If the patient regains spontaneous circulation and remains bradycardic then it should be considered. ,https://storage.googleapis.com/production-hostgator-v1-0-7/127/338127/xa71s1rE/d324c8fb60074c31ae3b27e7296b0e5b,
Resuscitation,Resus3,,,"A pulse is palpable so you declare return of spontaneous circulation, but the patient remains unresponsive. A new set of obs is shown on screen. What drugs could be used to treat the patient?",,,"The monitor shows bradycardia and hypotension. I would treat the bradycardia with atropine IV 500mcg, observe for an improvement and consider an isoprenaline or adrenaline  infusion or external ventricular pacing.",https://storage.googleapis.com/production-hostgator-v1-0-7/127/338127/xa71s1rE/fcb21e144a0a481fbdd8a89779ffb23e,
,,,,,,,,,
Resuscitation,Resus4,,,You are attending a cardiac arrest call for a 48 year old male who was found in cardiac arrest on a medical ward. A paramedic is currently doing chest compressions and you have been asked to lead the resuscitation attempt. Please describe how you would lead the resuscitation.,,,"I would lead the arrest according to ALS guidelines. I would  confirm cardiac arrest, attach the defibrillator and switch it on at 150J. CPR should continue in a 30:2 ratio until the airway is secured. I would then pause CPR to assess the rhythm and follow the shockable or non-shockable side of the algorithm. At the same time I would ensure that good quality compressions are being performed, 100% oxygen is being used for adequate ventilation and vascular access has been established. I would then consider all of the reversible causes of cardiac arrest.",https://storage.googleapis.com/production-hostgator-v1-0-7/127/338127/xa71s1rE/e22539530a67469a9557a7da854ed47c,
Resuscitation,Resus4,,,What is the rhythm shown on the display? Would you deliver a shock to this patient? ,,,The rhythm is Asystole which is a non-shockable rhythm. CPR should be continued and a shock should not be delivered. ,https://storage.googleapis.com/production-hostgator-v1-0-7/127/338127/xa71s1rE/e22539530a67469a9557a7da854ed47c,
Resuscitation,Resus4,,,How can you ensure that chest compressions are effective?,,,"The person doing CPR should kneel over the patient on a hard surface, place hands over the centre of the sternum and push down with straight arms to a depth of 5cm for adults, with regular rotation if tired. The compressions should have a rate of 100 to 120. The compressions should be done using a 30:2 ratio of compression to breaths. End Tidal CO2 should be used to measure effectiveness of CPR.  Mechanical devices like the LUCAS can be used.",,
,,,,,,,,,
Anatomy,CoronaryArteries,,,"What is this picture of? What are the vessels labelled A, B and C? What is the venous drainage of the heart?",,,"This is a coronary angiogram of the left coronary artery. A - Left Anterior Descending Artery. B - Left Main Stem. C - Left Circumflex Artery. The venous drainage of the heart is the great cardiac vein, the middle cardiac vein, and the small cardiac vein all drain into the coronary sinus (which opens into the right atrium). The anterior cardiac veins drain directly into the right atrium.",https://storage.googleapis.com/production-hostgator-v1-0-7/127/338127/xa71s1rE/95714fa16fd74e619c87d79de501e7a3,
Anatomy,CoronaryArteries,,,Where is the atrioventricular node located? What is the blood supply to the atrioventricular node?,,,The AV node is located in the lower atrial septum near the coronary sinus. It is supplied by the right coronary artery in 85% of the population and the left circumflex artery in 15%.,https://storage.googleapis.com/production-hostgator-v1-0-7/127/338127/xa71s1rE/95714fa16fd74e619c87d79de501e7a3,
Anatomy,CoronaryArteries,,,What is the role of the sinuses of Valsalva?,,,They facilitate smooth opening and closing of the aortic valve. ,,
Anatomy,Neck,SBA,"The neck connects the head to the torso and contains important nerves, blood vessels and organs that are relevant to anaesthetic practice. ",What nerve roots supply the phrenic nerve?,C1-3/C2-4/C3-5/C4-6,C3-5,The phrenic nerve arises from C3-5 and travels through the anterior scalene muscle. ,,
Anatomy,Neck,LabellingInput,"The neck connects the head to the torso and contains important nerves, blood vessels and organs that are relevant to anaesthetic practice. ",What level is this image? Can you name the anatomical parts labelled from A-F?,A)/B)/C)/D)/E)/F),Trachea/Thyroid/Internal Jugular Vein/Internal Carotid Artery/Vagus Nerve/SCM Muscle,This is an transverse axial section of the neck at level C6. A - Trachea. B - Thyroid. C - Internal Jugular Vein. D - Internal Carotid Artery. E - Vagus Nerve. F - Sternocleidomastoid Muscle.,AnatomyNeck.jpg,
